,iteration,id,production,consumption,stored_kwh,wallet,trades_from,amount_from_city,amount_to_city,central_battery_tax
1,25,ap2,17.316,37.6049,0.0,0.2528,ap1:8.4443-ap3:8.863-ap4:8.373-cs1:0.0-cs2:0.0-cs3:0.0,0.0135,5.0779,0.0
2,25,ap3,72.2042,37.699,0.0,251.7141,ap1:0.0-ap2:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,3.0824,0.0245,0.0
3,25,ap4,68.8585,36.7871,0.0,243.7371,ap1:0.0-ap2:0.0-ap3:0.0-cs1:0.0-cs2:0.0-cs3:0.0,3.0723,0.0245,0.0
4,25,cs1,17.316,43.6121,0.0,0.0004,ap1:14.6627-ap2:0.0-ap3:9.5998-ap4:8.9486-cs2:0.0-cs3:0.0,0.0135,6.6015,0.0
5,25,cs2,17.316,41.0026,0.0,0.328,ap1:11.9858-ap2:0.0-ap3:9.2745-ap4:8.6232-cs1:0.0-cs3:0.0,0.0135,5.8835,0.0
6,25,cs3,17.316,43.2184,0.0,0.0004,ap1:14.2597-ap2:0.0-ap3:9.5567-ap4:8.9054-cs1:0.0-cs2:0.0,0.0135,6.5059,0.0
0,26,ap1,86.9166,38.3683,0.2571,279.1733,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.1339,0.0004,0.0026
1,26,ap2,17.316,39.6477,0.0,0.0407,ap1:9.3968-ap3:8.3199-ap4:7.8512,0.0001,3.2295,0.0
2,26,ap3,73.1735,38.3647,0.0,171.6853,ap1:0.0-ap2:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.1375,0.0003,0.0
3,26,ap4,71.876,38.9407,0.0,161.7826,ap1:0.0-ap2:0.0-ap3:0.0-cs1:0.0-cs2:0.0-cs3:0.0,0.1365,0.0003,0.0
4,26,cs1,17.316,44.4094,0.0,0.0407,ap1:13.5931-ap3:8.9473-ap4:8.4787,0.0001,3.9191,0.0
5,26,cs2,17.316,43.1133,0.0,0.0407,ap1:12.4613-ap3:8.7713-ap4:8.3027,0.0001,3.7314,0.0
6,26,cs3,17.316,44.0568,0.0,0.0407,ap1:13.2814-ap3:8.9013-ap4:8.4327,0.0001,3.868,0.0
0,27,ap1,85.9257,37.822,0.2038,322.9044,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,4.2641,0.0,0.002
1,27,ap2,17.316,39.2282,0.0,0.0005,ap1:7.2762-ap3:9.5429-ap4:9.4097-cs1:0.0-cs2:0.0-cs3:0.0,0.0001,4.3157,0.0
2,27,ap3,73.0506,38.2803,0.0,202.2078,ap1:0.0001-ap2:0.0001-ap4:0.0-cs1:0.0001-cs2:0.0001-cs3:0.0001,3.0283,0.0,0.0
3,27,ap4,69.6973,37.3857,0.0,190.5406,ap1:0.0001-ap2:0.0001-ap3:0.0-cs1:0.0001-cs2:0.0001-cs3:0.0001,3.0435,0.0,0.0
4,27,cs1,17.316,42.5829,0.0,0.0005,ap1:14.9692-ap2:0.0-ap3:9.3407-ap4:8.6189-cs2:0.0-cs3:0.0,0.0001,7.6612,0.0
5,27,cs2,17.316,42.9831,0.0,0.0005,ap1:15.3496-ap2:0.0-ap3:9.721-ap4:8.6815-cs1:0.0-cs3:0.0,0.0001,8.0841,0.0
6,27,cs3,17.316,42.4524,0.0,0.0005,ap1:14.8228-ap2:0.0-ap3:9.1943-ap4:8.6452-cs1:0.0-cs2:0.0,0.0001,7.5251,0.0
0,28,ap1,88.124,39.0339,0.1515,216.6694,ap2:0.0-ap3:0.0-ap4:0.0-cs1:0.0-cs2:0.0-cs3:0.0,3.7576,0.0,0.0015
1,28,ap2,17.316,37.6382,0.0,-16.649,ap1:6.481-ap3:9.7789-ap4:10.1645,0.0,6.1021,0.0
2,28,ap3,71.0858,36.9308,0.0,127.3002,,1.226,0.0,0.0
3,28,ap4,67.4735,35.7985,0.0,112.7767,,1.3005,0.0,0.0
